# x_n,z_n,y_n
5.6410, 0.8008, -0.5989
5.6662, 0.8156, -0.5786
5.6914, 0.8299, -0.5579
5.7166, 0.8437, -0.5368
5.7417, 0.8570, -0.5154
5.7669, 0.8697, -0.4936
5.7921, 0.8818, -0.4716
5.8173, 0.8934, -0.4492
5.8425, 0.9045, -0.4266
5.8677, 0.9149, -0.4037
5.8928, 0.9248, -0.3805
5.9180, 0.9341, -0.3571
5.9432, 0.9428, -0.3335
5.9684, 0.9509, -0.3096
5.9936, 0.9584, -0.2856
6.0188, 0.9652, -0.2614
6.0439, 0.9715, -0.2370
6.0691, 0.9772, -0.2124
6.0943, 0.9822, -0.1878
6.1195, 0.9866, -0.1630
6.1447, 0.9904, -0.1381
6.1699, 0.9936, -0.1131
6.1950, 0.9961, -0.0880
6.2202, 0.9980, -0.0629
6.2454, 0.9993, -0.0378
6.2706, 0.9999, -0.0126
6.2958, 0.9999, 0.0126
6.3210, 0.9993, 0.0378
6.3461, 0.9980, 0.0629
6.3713, 0.9961, 0.0880
6.3965, 0.9936, 0.1131
6.4217, 0.9904, 0.1381
6.4469, 0.9866, 0.1630
6.4721, 0.9822, 0.1878
6.4972, 0.9772, 0.2124
6.5224, 0.9715, 0.2370
6.5476, 0.9652, 0.2614
6.5728, 0.9584, 0.2856
6.5980, 0.9509, 0.3096
6.6232, 0.9428, 0.3335
6.6483, 0.9341, 0.3571
6.6735, 0.9248, 0.3805
6.6987, 0.9149, 0.4037
6.7239, 0.9045, 0.4266
6.7491, 0.8934, 0.4492
6.7743, 0.8818, 0.4716
6.7994, 0.8697, 0.4936
6.8246, 0.8570, 0.5154
6.8498, 0.8437, 0.5368
6.8750, 0.8299, 0.5579
6.9002, 0.8156, 0.5786
6.9254, 0.8008, 0.5989
6.9505, 0.7855, 0.6189
6.9757, 0.7696, 0.6385
7.0009, 0.7533, 0.6577
7.0261, 0.7365, 0.6764
7.0513, 0.7192, 0.6948
7.0765, 0.7015, 0.7126
7.1016, 0.6834, 0.7301
7.1268, 0.6648, 0.7471
7.1520, 0.6457, 0.7636
7.1772, 0.6263, 0.7796
7.2024, 0.6065, 0.7951
7.2276, 0.5863, 0.8101
7.2527, 0.5657, 0.8246
7.2779, 0.5447, 0.8386
7.3031, 0.5234, 0.8521
7.3283, 0.5018, 0.8650
7.3535, 0.4799, 0.8773
7.3787, 0.4576, 0.8891
7.4038, 0.4351, 0.9004
7.4290, 0.4123, 0.9111
7.4542, 0.3892, 0.9211
7.4794, 0.3659, 0.9307
7.5046, 0.3423, 0.9396
7.5297, 0.3186, 0.9479
7.5549, 0.2946, 0.9556
7.5801, 0.2705, 0.9627
7.6053, 0.2461, 0.9692
7.6305, 0.2216, 0.9751
7.6557, 0.1970, 0.9804
7.6808, 0.1723, 0.9850
7.7060, 0.1474, 0.9891
7.7312, 0.1225, 0.9925
7.7564, 0.0974, 0.9952
7.7816, 0.0723, 0.9974
7.8068, 0.0472, 0.9989
7.8319, 0.0220, 0.9998
7.8571, -0.0031, 1.0000
7.8823, -0.0283, 0.9996
7.9075, -0.0535, 0.9986
7.9327, -0.0786, 0.9969
7.9579, -0.1037, 0.9946
7.9830, -0.1287, 0.9917
8.0082, -0.1536, 0.9881
8.0334, -0.1785, 0.9839
8.0586, -0.2032, 0.9791
8.0838, -0.2278, 0.9737
8.1090, -0.2522, 0.9677
8.1341, -0.2765, 0.9610
8.1593, -0.3006, 0.9537
8.1845, -0.3245, 0.9459
8.2097, -0.3483, 0.9374
8.2349, -0.3718, 0.9283
8.2601, -0.3950, 0.9187
8.2852, -0.4180, 0.9084
8.3104, -0.4408, 0.8976
8.3356, -0.4632, 0.8862
8.3608, -0.4854, 0.8743
8.3860, -0.5073, 0.8618
8.4112, -0.5288, 0.8488
8.4363, -0.5500, 0.8352
8.4615, -0.5709, 0.8211
8.4867, -0.5913, 0.8064
8.5119, -0.6115, 0.7913
8.5371, -0.6312, 0.7756
8.5623, -0.6505, 0.7595
8.5874, -0.6694, 0.7429
8.6126, -0.6879, 0.7258
8.6378, -0.7060, 0.7082
8.6630, -0.7236, 0.6902
8.6882, -0.7408, 0.6718
8.7134, -0.7574, 0.6529
8.7385, -0.7736, 0.6336
8.7637, -0.7893, 0.6140
8.7889, -0.8046, 0.5939
8.8141, -0.8193, 0.5734
8.8393, -0.8334, 0.5526
8.8645, -0.8471, 0.5315
8.8896, -0.8602, 0.5100
8.9148, -0.8728, 0.4881
8.9400, -0.8848, 0.4660
8.9652, -0.8962, 0.4436
8.9904, -0.9071, 0.4209
9.0156, -0.9174, 0.3979
9.0407, -0.9272, 0.3747
9.0659, -0.9363, 0.3512
9.0911, -0.9448, 0.3275
9.1163, -0.9528, 0.3036
9.1415, -0.9601, 0.2795
9.1667, -0.9669, 0.2553
9.1918, -0.9730, 0.2308
9.2170, -0.9785, 0.2063
9.2422, -0.9834, 0.1816
9.2674, -0.9876, 0.1567
9.2926, -0.9913, 0.1318
9.3177, -0.9943, 0.1068
9.3429, -0.9967, 0.0818
9.3681, -0.9984, 0.0566
9.3933, -0.9995, 0.0315
9.4185, -1.0000, 0.0063
9.4437, -0.9998, -0.0189
9.4688, -0.9990, -0.0441
9.4940, -0.9976, -0.0692
9.5192, -0.9955, -0.0943
9.5444, -0.9929, -0.1193
9.5696, -0.9895, -0.1443
9.5948, -0.9856, -0.1692
9.6199, -0.9810, -0.1939
9.6451, -0.9758, -0.2186
9.6703, -0.9700, -0.2431
9.6955, -0.9636, -0.2674
9.7207, -0.9565, -0.2916
9.7459, -0.9489, -0.3156
9.7710, -0.9406, -0.3394
9.7962, -0.9318, -0.3630
9.8214, -0.9224, -0.3863
9.8466, -0.9123, -0.4094
9.8718, -0.9017, -0.4323
9.8970, -0.8906, -0.4548
9.9221, -0.8788, -0.4771
9.9473, -0.8665, -0.4991
9.9725, -0.8537, -0.5208
9.9977, -0.8403, -0.5421
10.0229, -0.8264, -0.5631
10.0481, -0.8120, -0.5837
10.0732, -0.7970, -0.6040
10.0984, -0.7816, -0.6238
10.1236, -0.7656, -0.6433
10.1488, -0.7492, -0.6624
10.1740, -0.7322, -0.6811
10.1992, -0.7149, -0.6993
10.2243, -0.6970, -0.7171
10.2495, -0.6787, -0.7344
10.2747, -0.6600, -0.7512
10.2999, -0.6409, -0.7676
10.3251, -0.6214, -0.7835
10.3503, -0.6015, -0.7989
10.3754, -0.5811, -0.8138
10.4006, -0.5605, -0.8282
10.4258, -0.5394, -0.8420
10.4510, -0.5181, -0.8553
10.4762, -0.4964, -0.8681
10.5014, -0.4743, -0.8803
10.5265, -0.4520, -0.8920
10.5517, -0.4294, -0.9031
10.5769, -0.4065, -0.9136
10.6021, -0.3834, -0.9236
10.6273, -0.3600, -0.9329
10.6525, -0.3364, -0.9417
10.6776, -0.3126, -0.9499
10.7028, -0.2886, -0.9575
10.7280, -0.2644, -0.9644
10.7532, -0.2400, -0.9708
10.7784, -0.2155, -0.9765
10.8036, -0.1908, -0.9816
10.8287, -0.1661, -0.9861
10.8539, -0.1412, -0.9900
10.8791, -0.1162, -0.9932
10.9043, -0.0912, -0.9958
10.9295, -0.0661, -0.9978
10.9547, -0.0409, -0.9992
10.9798, -0.0157, -0.9999
11.0050, 0.0094, -1.0000
11.0302, 0.0346, -0.9994
11.0554, 0.0598, -0.9982
11.0806, 0.0849, -0.9964
11.1058, 0.1100, -0.9939
11.1309, 0.1349, -0.9909
11.1561, 0.1599, -0.9871
11.1813, 0.1847, -0.9828
11.2065, 0.2093, -0.9778
11.2317, 0.2339, -0.9723
11.2568, 0.2583, -0.9661
11.2820, 0.2826, -0.9593
11.3072, 0.3066, -0.9518
11.3324, 0.3305, -0.9438
11.3576, 0.3542, -0.9352
11.3828, 0.3776, -0.9260
11.4079, 0.4008, -0.9162
11.4331, 0.4237, -0.9058
11.4583, 0.4464, -0.8948
11.4835, 0.4688, -0.8833
11.5087, 0.4909, -0.8712
11.5339, 0.5127, -0.8586
11.5590, 0.5341, -0.8454
11.5842, 0.5552, -0.8317
11.6094, 0.5760, -0.8174
11.6346, 0.5964, -0.8027
11.6598, 0.6164, -0.7874
11.6850, 0.6361, -0.7716
11.7101, 0.6553, -0.7554
11.7353, 0.6741, -0.7386
11.7605, 0.6925, -0.7214
11.7857, 0.7104, -0.7038
11.8109, 0.7279, -0.6856
11.8361, 0.7450, -0.6671
11.8612, 0.7615, -0.6481
11.8864, 0.7776, -0.6287
11.9116, 0.7932, -0.6090
11.9368, 0.8083, -0.5888
11.9620, 0.8228, -0.5683
11.9872, 0.8369, -0.5474
12.0123, 0.8504, -0.5261
12.0375, 0.8634, -0.5045
12.0627, 0.8758, -0.4826
12.0879, 0.8877, -0.4604
12.1131, 0.8990, -0.4379
12.1383, 0.9098, -0.4152
12.1634, 0.9199, -0.3921
12.1886, 0.9295, -0.3688
12.2138, 0.9385, -0.3453
12.2390, 0.9469, -0.3216
12.2642, 0.9547, -0.2976
12.2894, 0.9619, -0.2735
12.3145, 0.9685, -0.2492
12.3397, 0.9744, -0.2247
12.3649, 0.9798, -0.2001
12.3901, 0.9845, -0.1754
12.4153, 0.9886, -0.1505
12.4405, 0.9921, -0.1256
12.4656, 0.9949, -0.1006
12.4908, 0.9971, -0.0755
12.5160, 0.9987, -0.0503
12.5412, 0.9997, -0.0252
12.5664, 1.0000, -0.0000
